NOTICE: pid::44932 2016-12-16 13:27:14     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:70:7) UI Server已经启动：http://127.0.0.1:8000
NOTICE: pid::44932 2016-12-16 13:27:15     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866035107724,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::44932 2016-12-16 13:27:16     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866036610264,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:12     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:70:7) UI Server已经启动：http://127.0.0.1:8000
NOTICE: pid::45663 2016-12-16 13:39:12     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866752271804,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:13     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866753119208,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:19     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866759258862,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:19     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866759787162,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:25     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866765018504,  type: 'pv',  method: 'GET',  url: '/record',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:25     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866765262336,  type: 'pv',  method: 'GET',  url: '/record/list?userQ=&typeQ=&dateQ=',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:25     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866765946935,  type: 'pv',  method: 'GET',  url: '/sport',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:26     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866766142860,  type: 'pv',  method: 'GET',  url: '/sport/list?sportNameQ=&sportHotQ=',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:26     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866766839298,  type: 'pv',  method: 'GET',  url: '/food',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:27     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866767012041,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
